case_id,dimension,time_s,dt_s,rk_stage,T_K,Cmax_kg_kg,r_m,z_m,R_m,rho,cp,k,D
q23_1d_adaptive_nr160_nz1_dt0.125_m94a220bc5006_half_steps,1,223200.0,0.0146484375,accepted_state,323.1489344235139,0.14563917943057864,0.0,0.0,0.02,668.6418149671141,1797.8135193666435,0.25830743324536715,7.313524915506953e-10
q23_1d_adaptive_nr160_nz1_dt0.125_m94a220bc5006_half_steps,1,226800.0,0.0146484375,accepted_state,323.1489344235207,0.1447442752261432,0.0,0.0,0.02,668.5272672289464,1795.9465538191876,0.25804813247488717,7.175138151808184e-10
q23_1d_adaptive_nr160_nz1_dt0.125_m94a220bc5006_half_steps,1,230400.0,0.0146484375,accepted_state,323.1489344235276,0.1438755147195706,0.0,0.0,0.02,668.416065884105,1794.1313352784282,0.2577960187886706,7.041698615303921e-10
q23_1d_adaptive_nr160_nz1_dt0.125_m94a220bc5006_half_steps,1,234000.0,0.0146484375,accepted_state,323.1489344235344,0.143031655705436,0.0,0.0,0.02,668.3080519302958,1792.3655049768117,0.2575507645801127,6.912950772283486e-10
q23_1d_adaptive_nr160_nz1_dt0.125_m94a220bc5006_half_steps,1,237600.0,0.0146484375,accepted_state,323.1489344235412,0.14221153613432336,0.0,0.0,0.02,668.2030766251934,1790.646850915496,0.2573120626271522,6.788656163573317e-10
q23_1d_adaptive_nr160_nz1_dt0.125_m94a220bc5006_half_steps,1,241200.0,0.0146484375,accepted_state,323.14893442354804,0.1414140676504438,0.0,0.0,0.02,668.1010006592568,1788.9732964199845,0.2570796245027756,6.668592015762169e-10
q23_1d_adaptive_nr160_nz1_dt0.125_m94a220bc5006_half_steps,1,244800.0,0.0146484375,accepted_state,323.1489344235548,0.14063822974924398,0.0,0.0,0.02,668.0016934079032,1787.3428897596411,0.2568531791332835,6.552549984693414e-10
q23_1d_adaptive_nr160_nz1_dt0.125_m94a220bc5006_half_steps,1,248400.0,0.0146484375,accepted_state,323.14893442356015,0.13988306448670534,0.0,0.0,0.02,667.9050322542982,1785.7537947175015,0.25663247148854185,6.440335016902602e-10
q23_1d_adaptive_nr160_nz1_dt0.125_m94a220bc5006_half_steps,1,252000.0,0.0146484375,accepted_state,323.1489344235653,0.1391476716801074,0.0,0.0,0.02,667.8109019750538,1784.204282009614,0.25641726139022414,6.331764316350995e-10
q23_1d_adaptive_nr160_nz1_dt0.125_m94a220bc5006_half_steps,1,255600.0,0.0146484375,accepted_state,323.1489344235695,0.13843120454755456,0.0,0.0,0.02,667.719194182087,1782.6927214654438,0.25620732242575606,6.22666640533687e-10
q23_1d_adaptive_nr160_nz1_dt0.125_m94a220bc5006_half_steps,1,259200.0,0.0146484375,accepted_state,323.1489344235729,0.1377328657400242,0.0,0.0,0.02,667.6298068147231,1781.2175748914462,0.2560024409571453,6.124880269798533e-10
q23_1d_adaptive_nr160_nz1_dt0.25_m94a220bc5006,1,3600.0,0.029296875,accepted_state,313.53150427925215,2.5257259146669058,0.0,0.0,0.02,973.2929170773639,3409.9895935704108,0.48222077688477927,9.331025566213564e-09
q23_1d_adaptive_nr160_nz1_dt0.25_m94a220bc5006,1,7200.0,0.029296875,accepted_state,321.6002085253903,2.1708597600451487,0.0,0.0,0.02,927.870049285779,3323.1425395486294,0.4701586860484207,1.2333299493171133e-08
q23_1d_adaptive_nr160_nz1_dt0.25_m94a220bc5006,1,10800.0,0.029296875,accepted_state,322.99949138949154,1.7661906589621064,0.0,0.0,0.02,876.0724043471496,3196.914164164459,0.4526269672450638,1.2387281393891838e-08
q23_1d_adaptive_nr160_nz1_dt0.25_m94a220bc5006,1,14400.0,0.029296875,accepted_state,323.1493896460695,1.4536188698478534,0.0,0.0,0.02,836.0632153405252,3070.9123905826264,0.43512672091425375,1.1791898726059286e-08
q23_1d_adaptive_nr160_nz1_dt0.25_m94a220bc5006,1,18000.0,0.029296875,accepted_state,323.1485677882837,1.2098500697652463,0.0,0.0,0.02,804.8608089299515,2947.9069558458114,0.41804263275636266,1.1078516008886473e-08
q23_1d_adaptive_nr160_nz1_dt0.25_m94a220bc5006,1,21600.0,0.029296875,accepted_state,323.1489185262167,1.0169788839419178,0.0,0.0,0.02,780.1732971445655,2829.5157939517685,0.40159941582663455,1.0324095374452617e-08
q23_1d_adaptive_nr160_nz1_dt0.25_m94a220bc5006,1,25200.0,0.029296875,accepted_state,323.1489338482635,0.863782960019821,0.0,0.0,0.02,760.564218882537,2718.0179126592598,0.3861135989804527,9.544871045164458e-09
q23_1d_adaptive_nr160_nz1_dt0.25_m94a220bc5006,1,28800.0,0.029296875,accepted_state,323.14893440812074,0.7419681167358361,0.0,0.0,0.02,744.971918942187,2615.3627571514817,0.37185593849326126,8.762428614203034e-09
q23_1d_adaptive_nr160_nz1_dt0.25_m94a220bc5006,1,32400.0,0.029296875,accepted_state,323.1489344245547,0.64500846753645,0.0,0.0,0.02,732.5610838446656,2522.7866767899322,0.3589981495541572,7.998891022741448e-09
q23_1d_adaptive_nr160_nz1_dt0.25_m94a220bc5006,1,36000.0,0.029296875,accepted_state,323.14893442460095,0.5676928425408172,0.0,0.0,0.02,722.6646838452245,2440.7601636264,0.34760557828144445,7.273851924859558e-09
