time_s,C_r0.0_cm_kg_kg,C_r0.1_cm_kg_kg,C_r0.2_cm_kg_kg,C_r0.3_cm_kg_kg,C_r0.4_cm_kg_kg,C_r0.5_cm_kg_kg,C_r0.6_cm_kg_kg,C_r0.7_cm_kg_kg,C_r0.8_cm_kg_kg,C_r0.9_cm_kg_kg,C_r1.0_cm_kg_kg,C_r1.1_cm_kg_kg,C_r1.2_cm_kg_kg,C_r1.3_cm_kg_kg,C_r1.4_cm_kg_kg,C_r1.5_cm_kg_kg,C_r1.6_cm_kg_kg,C_r1.7_cm_kg_kg,C_r1.8_cm_kg_kg,C_r1.9_cm_kg_kg,C_r2.0_cm_kg_kg,药材表面
2940.0,2.5499999998615714,2.5499999995036986,2.549999996758409,2.54999997611913,2.5499998246232285,2.5499988560135147,2.549993356084626,2.549965598226283,2.5498372780086394,2.5492889456190624,2.547311618333683,2.541116725317891,2.524188571417684,2.4835110541547647,2.395872222765646,2.235207787775391,1.9771766487490396,1.610949183302218,1.1446630960118687,,,1.0259330302170966
3000.0,2.5499999997578917,2.5499999991678917,2.549999994799251,2.5499999631370325,2.549999741449245,2.549998383943161,2.5499909840305093,2.5499550543281417,2.549793022151157,2.549129964081082,2.546821378459494,2.5398130716203426,2.521194685642724,2.477179059888504,2.3850722153930786,2.2194749261565843,1.957620571965802,1.590304472631619,1.1256718562499233,,,1.0216897598082688
3060.0,2.5499999995836724,2.549999998626332,2.549999991776469,2.549999943892432,2.549999623656464,2.5499977432790377,2.5499878917242023,2.549941822095758,2.5497391955311755,2.5489437309969856,2.5462661031198395,2.538380395179446,2.517991844411994,2.4705671959547364,2.3740337599648185,2.203671106802647,1.93823682054185,1.5700233301552267,1.1070754466161756,,,1.0175946091291026
3120.0,2.549999999295698,2.5499999977659544,2.5499999871776207,2.549999915746397,2.5499994588591957,2.5499968833437463,2.549983900166656,2.549925361545205,2.549674283631193,2.548727115729801,2.5456408275212157,2.5368133249787634,2.5145780073517114,2.463682961654273,2.362772493250856,2.187811274172305,1.9190258370338045,1.5500819969271875,1.0889792167492294,,,1.013761766917951
3180.0,2.5499999988271838,2.549999996418722,2.5499999802750484,2.549999875112013,2.5499992309904815,2.549995741255661,2.5499787965649645,2.549905056918048,2.549596632709654,2.5484768437330825,2.5449405743081015,2.535106689781095,2.510951149441398,2.456532097323105,2.3512975915825507,2.1718964513203125,1.8999683297460266,1.5301172467533761,1.0714219893646637,,,1.0101141074043023
3240.0,2.5499999980765398,2.549999994338462,2.5499999700492353,2.54999981717549,2.549998919445301,2.5499942397764928,2.549972330119483,2.549880210656837,2.5495044439220433,2.54818948231328,2.5441602823679927,2.533255311697177,2.5069728407051084,2.4491202785836097,2.3396212183847394,2.1559418588398147,1.8810814137550111,1.5098922216928143,1.0542587801888392,,,1.0064877894083222
3300.0,2.54999999689154,2.549999991169447,2.5499999550898376,2.549999735553206,2.5499984980761243,2.5499922848934276,2.54996420747223,2.5498500374185666,2.549395772308518,2.54786146635125,2.5432949438587595,2.5312545395835055,2.5026680836216646,2.4414559014845874,2.3277590674139774,2.139963534129245,1.8623728486730609,1.4900647984474162,1.0374925422397228,,,1.0029535708484176
3360.0,2.549999995047355,2.5499999864043317,2.5499999334693513,2.549999621875395,2.54999793403883,2.549989763228347,2.5499540884308396,2.5498125047007996,2.5492685357350586,2.547489139533961,2.542339681061873,2.5291002320143643,2.498134533694756,2.4335475733659258,2.315725445335571,2.123974977662121,1.8438503396243657,1.4706290323071343,1.0209931103777463,,,0.9993670999692544
3420.0,2.5499999922165175,2.549999979328637,2.5499999025842293,2.54999946528918,2.5499971864914444,2.5499865393021746,2.5499415818104634,2.5497669136027676,2.549120521163464,2.5470687748276175,2.5412897710450992,2.5267887856785736,2.4933742076794196,2.425405427599756,2.303537388047673,2.107994901768152,1.8252004930677415,1.451572251137838,1.004818863534032,,,0.9958489610860747
3480.0,2.5499999879284694,2.5499999689484607,2.5499998589576887,2.5499992518724723,2.5499962051411686,2.5499824526682215,2.549926241504444,2.5497124746554003,2.5489493970163526,2.5465966170077627,2.540140735999897,2.5243172603290143,2.4883900749771946,2.41703981442099,2.2912094900601865,2.092034390602337,1.8061718377009708,1.4328723023933685,,,,0.9922743744105168
3540.0,2.5499999815158074,2.549999953897665,2.549999797998213,2.549998963952946,2.549994928652495,2.549977314997712,2.5499075629761467,2.5496479283501694,2.548752723944109,2.5460688999014236,2.5388883202732893,2.5216832091366883,2.483185734588596,2.408461754831244,2.278758346692162,2.076111024906915,1.7874043892765168,1.4145187162038817,,,,0.9887321918868577
3600.0,2.549999972044007,2.5499999323202394,2.549999713707614,2.549998579326191,2.549993282917806,2.5499709071094276,2.549884980036256,2.5495719139009645,2.548527969906243,2.545481889254552,2.5375285911665437,2.5187743849556643,2.4777657279080403,2.399682422137736,2.2661974888879013,2.0602311041640764,1.7688809191638624,1.3964678880343184,,,,0.9853967156666906
