time_s,C_r0.0_cm_kg_kg,C_r0.1_cm_kg_kg,C_r0.2_cm_kg_kg,C_r0.3_cm_kg_kg,C_r0.4_cm_kg_kg,C_r0.5_cm_kg_kg,C_r0.6_cm_kg_kg,C_r0.7_cm_kg_kg,C_r0.8_cm_kg_kg,C_r0.9_cm_kg_kg,C_r1.0_cm_kg_kg,C_r1.1_cm_kg_kg,C_r1.2_cm_kg_kg,C_r1.3_cm_kg_kg,C_r1.4_cm_kg_kg,C_r1.5_cm_kg_kg,C_r1.6_cm_kg_kg,C_r1.7_cm_kg_kg,C_r1.8_cm_kg_kg,C_r1.9_cm_kg_kg,C_r2.0_cm_kg_kg
1320.0,2.549998328409285,2.5499974508802095,2.5499942035724956,2.5499849313651977,2.549960059192289,2.549895946063953,2.549737522551635,2.549363793873256,2.5485248249972776,2.546736905376,2.5431260306661816,2.5362233196613895,2.523742338538617,2.5024040166121826,2.467906580739499,2.4151445800941076,2.338743653168214,2.2338931688457864,2.0973469856394,1.9283623916997308,1.7296049705968284
1380.0,2.549996950294519,2.549995493998475,2.5499902469524716,2.5499758421328047,2.5499388171291173,2.5498473356076383,2.549630334695024,2.5491379773813465,2.548072698018361,2.545879757521363,2.5415916673228,2.533635710160002,2.519639113427856,2.496297107899058,2.459392116820998,2.404050006941202,2.3252783290848984,2.218753019370561,2.0817259153728553,1.9138592753096002,1.7180307074078396
1440.0,2.5499946714011865,2.549992348378357,2.5499841773785867,2.5499625365325826,2.549909061156087,2.5497820172112204,2.549491863355963,2.548856884344918,2.5475291676724874,2.544882280281807,2.5398590486118717,2.5307933950966586,2.515243788186662,2.489901450691504,2.4506518901196954,2.3928591812033453,2.311899943581909,2.203903014987682,2.066573207562636,1.899920664831716,1.706916628025348
1500.0,2.549991042515315,2.5499874655375123,2.5499751541116473,2.549943601666713,2.549868422067449,2.5496962019623064,2.5493164821398753,2.5485129408654434,2.546885287506897,2.5437357677566736,2.53792242311655,2.5276968736725163,2.5105658003496756,2.4832359659166174,2.4417115714959507,2.3815986446084434,2.298628923862048,2.1893522022297467,2.05187905117277,1.8865001039941842,1.6961858450507656
1560.0,2.549985455613165,2.5499801194750864,2.5499621107363755,2.5499173272505367,2.549814159726408,2.5495856979228657,2.549098235716347,2.5480984921522642,2.5461324819759823,2.542432482863803,2.5357775869491395,2.524348531268983,2.505616424665316,2.4763210389384005,2.432597917520371,2.3702960263324346,2.2854866829066993,2.175107196010437,2.0376227520037182,1.8735440393787592,1.6858877407837634
1620.0,2.549977111047961,2.549969374338148,2.549943725572165,2.5498816850146935,2.5497431627325353,2.549445944426258,2.5488309199215733,2.547605926466167,2.5452626888502756,2.540965761301449,2.5334218471247496,2.5207522690430797,2.5004076706258953,2.4691758932215127,2.423333227054909,2.3589694945560087,2.27247813329445,2.1611507357530924,2.0237655730896478,1.8610326478972965,1.6759782152767986
1680.0,2.549964984350086,2.5499540526305657,2.549918394959273,2.549834314149813,2.5496519562468283,2.5492720515203775,2.5485081514103296,2.547027748283302,2.5442683690177823,2.5393298467133314,2.530853553427109,2.516912682296095,2.4949513593679224,2.461818519077193,2.413938286020089,2.347637516669794,2.259613986774239,2.1474831067690587,2.010300537353693,1.8489383771263985,1.6664354523189662
1740.0,2.5499477935852854,2.5499327047241156,2.5498842095192407,2.5497725113753127,2.5495367142439793,2.549058840079483,2.548123432513223,2.546356652847637,2.5431425729770893,2.537519958902342,2.528072249900326,2.5128354601826084,2.4892598917281545,2.4542664717371583,2.404431667581071,2.3363132628468355,2.2468947380886912,2.134086425828296,1.997190205207087,1.8372327170871023,1.6573475434728817
1800.0,2.5499239685214254,2.5499035809016517,2.549838934628072,2.549693227211779,2.5493932791354577,2.5488008882043123,2.5476702164772447,2.5455855817681616,2.5418789269187494,2.5355321036159277,2.52507812919976,2.508526203517033,2.4833440607488964,2.446533410728846,2.3948253895082376,2.3250013389422453,2.2343126920970877,2.120940531828283,1.9844146662937732,1.8259212642876586,1.6486524524571549
1860.0,2.5498916223833112,2.5498646063699772,2.5497799943683326,2.5495930648110603,2.549217178668271,2.54849256103955,2.547141929437533,2.5447076963990525,2.5404715044079484,2.533362810313215,2.5218716996807213,2.503990305974766,2.4772138202367664,2.43863196445711,2.385131583315448,2.3137100157052926,2.221870758815394,2.1080461077699293,1.9719774317047007,1.8149886494730576,1.6402939778157233
