time_s,z_m,max_abs_delta_T_K,max_abs_delta_C_kg_kg,radial_weighted_mean_delta_T_K,radial_weighted_mean_delta_C_kg_kg
480.0,0.06956386026088461,0.0001955774710040714,0.001252836376772759,-3.2829868477965095e-05,0.00010374746803414026
480.0,0.07060787382080315,0.00019578201585090937,0.001252836376772759,-3.2550442368188025e-05,0.00010374746803414026
480.0,0.0716515667581494,0.00019608477578003658,0.001252836376772759,-3.213688119576825e-05,0.0001037474680340899
480.0,0.07269489830361563,0.00019653028721222654,0.001252836376772759,-3.1528379984974794e-05,0.0001037474680340899
480.0,0.07373782316290495,0.00019718200792340213,0.001252836376772759,-3.063831085682742e-05,0.0001037474680340899
480.0,0.07478029111431495,0.00019812976711364172,0.001252836376772759,-2.9344061174894003e-05,0.0001037474680340899
480.0,0.07582224651288785,0.00019949988984535594,0.0012528363767732031,-2.7473225948167727e-05,0.00010374746803415815
480.0,0.07686362783398165,0.00020146885003669013,0.0012528363767732031,-2.4784992657332606e-05,0.00010374746803417566
480.0,0.07790436719314517,0.0002042815349909688,0.0012528363767732031,-2.094524304213423e-05,0.00010374746803415815
480.0,0.07894438984094701,0.00020827548405577545,0.0012528363767732031,-1.549351948697395e-05,0.00010374746803415815
480.0,0.07998361362457158,0.00021391279284443954,0.0012528363767732031,-7.799556496830831e-06,0.00010374746803415815
480.0,0.08102194840032294,0.00022182175757734512,0.0012528363767732031,2.9934421720904247e-06,0.00010374746803417566
480.0,0.08205929548549097,0.00023285077412538158,0.0012528363767732031,1.8042194816918624e-05,0.00010374746803417566
480.0,0.08309554716203224,0.0002481375016145648,0.0012528363767732031,3.889748278717874e-05,0.00010374746803417566
480.0,0.08413058610602109,0.000269196836370611,0.0012528363767732031,6.762384641027245e-05,0.00010374746803415815
480.0,0.08516428481011179,0.00029803181911347565,0.001252836376772759,0.00010695041426496598,0.00010374746803414026
480.0,0.08619650506439627,0.00035470821313765555,0.001252836376772759,0.0001604592413011941,0.0001037474680340899
480.0,0.08722709745954318,0.00044669100043392973,0.001252836376772759,0.00023281831446283474,0.0001037474680340899
480.0,0.08825590074562395,0.0005702700386791548,0.001252836376772759,0.00033006709913563836,0.0001037474680340899
480.0,0.08928274153945595,0.0007352734100436464,0.001252836376772759,0.0004599631619188322,0.0001037474680340899
480.0,0.09030743429035756,0.0009542250819549736,0.001252836376772759,0.0006323989082299457,0.0001037474680340899
480.0,0.09132978029650739,0.0012429673328711033,0.001252836376772759,0.0008598974619992057,0.0001037474680340899
480.0,0.0923495681702389,0.001621392706226743,0.001252836376772759,0.001158197064325739,0.0001037474680340899
480.0,0.09336657378513252,0.002114295603746541,0.001252836376772759,0.0015469326952677962,0.0001037474680340899
480.0,0.0943805595662751,0.002752351331025693,0.0012528363767732031,0.0020504219960436228,0.00010374746803415815
480.0,0.0953912756933589,0.0035732305307760726,0.0012528363767732031,0.00269856287839922,0.00010374746803415815
480.0,0.09639846026831739,0.004622851297710895,0.0012528363767732031,0.003527845996492045,0.00010374746803417566
480.0,0.09740183955800345,0.005956768007820301,0.0012528363767732031,0.004582482927866099,0.00010374746803417566
480.0,0.09840112856690197,0.007641691306560006,0.0012528363767732031,0.005915647544203041,0.00010374746803417566
480.0,0.09939603264570279,0.009757128064222798,0.0012528363767732031,0.00759082384566763,0.00010374746803415815
480.0,0.10038624851439969,0.012397121082756257,0.0012528363767732031,0.009683246626331918,0.00010374746803415815
480.0,0.10137146514031278,0.01567205802399485,0.0012528363767732031,0.012281413346765451,0.00010374746803415815
480.0,0.10235136516852997,0.019710515237136406,0.0012528363767732031,0.015488642727498819,0.00010374746803417566
480.0,0.10332562634832987,0.024661085870491206,0.001252836376772759,0.019424642717706327,0.0001037474680340546
480.0,0.10429392395625564,0.030694142772119903,0.001252836376772759,0.024227051397280278,0.00010374746803344567
480.0,0.10525593175448669,0.03800345834059726,0.0012528363767700945,0.030052891751236998,0.0001037474680285253
480.0,0.10621132333208266,0.04680761043448456,0.0012528363767452255,0.03707988651309927,0.00010374746798334878
480.0,0.1071597731638037,0.05735109203811817,0.0012528363765418327,0.04550756981564114,0.00010374746760585574
